t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
9,0,1,3,3299,10632,69.0
5,2,1,3,3116,10631,70.7
13,0,1,3,2682,10633,74.8
15,1,0,3,3428,11205,69.4
7,2,1,3,2806,10599,73.5
6,0,2,3,2514,10575,76.2
2,0,2,3,3016,10542,71.4
14,0,1,3,2540,10661,76.2
7,1,1,3,3183,10589,69.9
3,4,1,3,2783,10596,73.7
6,1,1,3,3371,10567,68.1
1,4,1,3,3013,10543,71.4
11,1,1,3,2588,10617,75.6
9,2,1,3,2584,10642,75.7
6,3,1,3,2621,10601,75.3
12,4,0,3,2719,10630,74.4
10,0,1,3,3104,10665,70.9
2,1,2,3,2740,10563,74.1
14,2,0,3,3130,10671,70.7
4,3,1,3,2885,10550,72.7
0,4,1,3,3195,10515,69.6
0,2,2,3,2707,10500,74.2
10,1,1,3,2748,10617,74.1
11,0,1,3,2965,10591,72.0
1,2,2,3,2592,10501,75.3
4,2,1,3,3307,10548,68.6
3,1,2,3,2572,10579,75.7
8,0,1,3,3499,10602,67.0
6,2,1,3,2977,10617,72.0
0,0,2,3,3479,10495,66.9
3,3,1,3,3040,10547,71.2
11,4,0,3,2811,10675,73.7
1,1,2,3,2862,10541,72.8
4,4,1,3,2623,10556,75.2
2,4,1,3,2891,10520,72.5
13,2,0,3,3326,10944,69.6
5,3,1,3,2772,10606,73.9
7,3,1,3,2595,10650,75.6
11,3,0,3,3208,10679,70.0
8,2,1,3,2679,10596,74.7
2,3,1,3,3238,10556,69.3
10,4,0,3,2923,10630,72.5
9,4,0,3,3108,10661,70.8
1,3,1,3,3474,10535,67.0
3,1,1,4,4168,10608,60.7
4,4,0,4,4360,12360,64.7
15,0,0,4,4074,12831,68.2
6,0,1,4,4061,10580,61.6
8,3,0,4,3872,11622,66.7
2,2,1,4,3782,10591,64.3
12,1,0,4,4172,12848,67.5
7,3,0,4,4163,12348,66.3
7,0,1,4,3761,10616,64.6
5,0,1,4,4326,10640,59.3
9,3,0,4,3698,11235,67.1
14,1,0,4,3660,11575,68.4
1,2,1,4,4040,10555,61.7
2,1,1,4,4434,10579,58.1
0,3,1,4,3651,10507,65.3
7,4,0,4,3504,10990,68.1
5,4,0,4,4051,11657,65.2
5,1,1,4,3637,10580,65.6
6,4,0,4,3785,11322,66.6
11,2,0,4,3764,11613,67.6
10,2,0,4,4039,12230,67.0
16,0,0,4,3840,12114,68.3
3,2,1,4,3529,10558,66.6
13,1,0,4,3930,12221,67.8
0,2,1,4,4312,10526,59.0
4,1,1,4,3908,10571,63.0
12,2,0,4,3563,11268,68.4
5,3,0,5,4800,13892,65.4
3,0,1,5,5017,10723,53.2
1,1,1,5,4859,10557,54.0
4,0,1,5,4650,10576,56.0
10,1,0,5,4815,14714,67.3
3,4,0,5,4615,13185,65.0
13,0,0,5,4695,14717,68.1
8,2,0,5,4589,13761,66.7
0,1,1,5,5320,10594,49.8
1,0,1,6,6112,11665,47.6
2,0,1,6,5535,11234,50.7
0,0,1,7,6922,12424,44.3
