InstanceType,vCPU,Memory,GPUType,GPUCount,GPUMemory
r6a.16xlarge,64,524288,,,
r5a.24xlarge,96,786432,,,
m6idn.8xlarge,32,131072,,,
c5.2xlarge,8,16384,,,
r6id.metal,128,1048576,,,
x2iedn.24xlarge,96,3145728,,,
r5ad.xlarge,4,32768,,,
m6i.xlarge,4,16384,,,
d3.4xlarge,16,131072,,,
z1d.6xlarge,24,196608,,,
i3.8xlarge,32,249856,,,
m5d.12xlarge,48,196608,,,
g4ad.16xlarge,64,262144,Radeon Pro V520,4.0,8192.0
c6gn.large,2,4096,,,
m4.10xlarge,40,163840,,,
t3.small,2,2048,,,
r6id.8xlarge,32,262144,,,
c6g.4xlarge,16,32768,,,
r5d.metal,96,786432,,,
m7g.2xlarge,8,32768,,,
c5ad.large,2,4096,,,
r5ad.4xlarge,16,131072,,,
m6id.4xlarge,16,65536,,,
i4i.32xlarge,128,1048576,,,
m5zn.xlarge,4,16384,,,
i3.16xlarge,64,499712,,,
p3.16xlarge,64,499712,V100,8.0,16384.0
is4gen.large,2,12288,,,
m5dn.16xlarge,64,262144,,,
r5.2xlarge,8,65536,,,
x2iedn.16xlarge,64,2097152,,,
r4.large,2,15616,,,
r6idn.metal,128,1048576,,,
m5.large,2,8192,,,
c7g.large,2,4096,,,
z1d.large,2,16384,,,
r6g.xlarge,4,32768,,,
g3s.xlarge,4,31232,M60,1.0,8192.0
m7g.metal,64,262144,,,
r5n.xlarge,4,32768,,,
m6in.xlarge,4,16384,,,
c5ad.8xlarge,32,65536,,,
c6in.4xlarge,16,32768,,,
im4gn.16xlarge,64,262144,,,
c6a.2xlarge,8,16384,,,
m5ad.16xlarge,64,262144,,,
m6a.24xlarge,96,393216,,,
r6i.metal,128,1048576,,,
inf1.24xlarge,96,196608,,,
r6idn.32xlarge,128,1048576,,,
i4i.xlarge,4,32768,,,
im4gn.large,2,8192,,,
c6gn.8xlarge,32,65536,,,
c5d.xlarge,4,8192,,,
c6id.12xlarge,48,98304,,,
x2idn.32xlarge,128,2097152,,,
m5n.xlarge,4,16384,,,
r5a.8xlarge,32,262144,,,
r6in.16xlarge,64,524288,,,
a1.4xlarge,16,32768,,,
c7g.12xlarge,48,98304,,,
m6gd.8xlarge,32,131072,,,
r5.12xlarge,48,393216,,,
c6in.32xlarge,128,262144,,,
m7g.medium,1,4096,,,
m5dn.24xlarge,96,393216,,,
c6g.medium,1,2048,,,
c5a.8xlarge,32,65536,,,
hpc6a.48xlarge,96,393216,,,
r6gd.16xlarge,64,524288,,,
m5n.2xlarge,8,32768,,,
m5d.2xlarge,8,32768,,,
c6gn.2xlarge,8,16384,,,
g4dn.16xlarge,64,262144,T4,1.0,16384.0
c6i.metal,128,262144,,,
i3en.2xlarge,8,65536,,,
r5dn.2xlarge,8,65536,,,
m5dn.4xlarge,16,65536,,,
c6gd.2xlarge,8,16384,,,
c6id.xlarge,4,8192,,,
r4.8xlarge,32,249856,,,
r5b.8xlarge,32,262144,,,
i3en.xlarge,4,32768,,,
c5d.metal,96,196608,,,
i2.8xlarge,32,249856,,,
m6idn.16xlarge,64,262144,,,
r7g.large,2,16384,,,
c6gd.medium,1,2048,,,
t2.xlarge,4,16384,,,
x1e.xlarge,4,124928,,,
m5n.24xlarge,96,393216,,,
im4gn.4xlarge,16,65536,,,
x2iedn.32xlarge,128,4194304,,,
x1.32xlarge,128,1998848,,,
g4ad.xlarge,4,16384,Radeon Pro V520,1.0,8192.0
c5.18xlarge,72,147456,,,
m6in.2xlarge,8,32768,,,
m5a.xlarge,4,16384,,,
r5dn.24xlarge,96,786432,,,
m6gd.large,2,8192,,,
c6gd.8xlarge,32,65536,,,
i3.4xlarge,16,124928,,,
m6id.8xlarge,32,131072,,,
m6a.12xlarge,48,196608,,,
r5n.large,2,16384,,,
r6idn.12xlarge,48,393216,,,
i4i.8xlarge,32,262144,,,
p2.16xlarge,64,749568,K80,16.0,12288.0
r4.4xlarge,16,124928,,,
c6i.12xlarge,48,98304,,,
m6g.medium,1,4096,,,
is4gen.medium,1,6144,,,
c6g.metal,64,131072,,,
c6gd.12xlarge,48,98304,,,
c6g.8xlarge,32,65536,,,
m6in.8xlarge,32,131072,,,
t3a.nano,2,512,,,
r7g.12xlarge,48,393216,,,
m6i.12xlarge,48,196608,,,
r6g.metal,64,524288,,,
c5d.9xlarge,36,73728,,,
p2.xlarge,4,62464,K80,1.0,12288.0
m6a.xlarge,4,16384,,,
r7g.16xlarge,64,524288,,,
z1d.3xlarge,12,98304,,,
c6id.4xlarge,16,32768,,,
r6i.2xlarge,8,65536,,,
c6gd.4xlarge,16,32768,,,
i3.metal,72,524288,,,
g4dn.2xlarge,8,32768,T4,1.0,16384.0
i3en.6xlarge,24,196608,,,
g4dn.8xlarge,32,131072,T4,1.0,16384.0
m6a.8xlarge,32,131072,,,
c6a.large,2,4096,,,
c5n.xlarge,4,10752,,,
r5dn.4xlarge,16,131072,,,
r6in.2xlarge,8,65536,,,
t3a.micro,2,1024,,,
m5a.12xlarge,48,196608,,,
c5a.large,2,4096,,,
r6i.8xlarge,32,262144,,,
m6g.2xlarge,8,32768,,,
m6a.32xlarge,128,524288,,,
d2.xlarge,4,31232,,,
m5a.24xlarge,96,393216,,,
c6in.metal,128,262144,,,
is4gen.8xlarge,32,196608,,,
p3.8xlarge,32,249856,V100,4.0,16384.0
