t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
5,2,2,6,5.188421000000001
3,0,3,6,4.462383999999982
10,0,3,6,4.611301000000002
0,4,1,6,6.840051999999971
12,0,2,6,5.352837
5,3,2,6,5.161559
10,2,2,6,5.213529
14,0,2,6,5.300623000000002
1,1,2,6,5.356570999999992
3,3,2,6,5.125210999999998
10,4,0,6,9.73606100000001
10,4,1,6,6.226476
5,1,3,6,4.488049000000005
5,4,1,6,6.485593999999996
11,2,1,6,6.675955999999999
11,4,0,6,9.346081999999997
9,4,1,6,6.264769000000008
10,1,2,6,5.201939000000004
9,3,1,6,6.3512309999999985
9,3,2,6,5.064225999999996
8,3,1,6,6.418362000000011
13,2,1,6,6.600701999999993
8,4,1,6,6.353170000000002
1,2,2,6,5.317222000000006
13,1,2,6,5.340521999999998
3,2,2,6,5.313377000000004
11,1,2,6,5.252847999999998
11,0,3,6,4.657630999999999
3,4,2,6,5.016400000000003
4,3,2,6,5.128115999999993
8,1,2,6,5.2620049999999985
12,1,2,6,5.199951999999997
1,3,2,6,5.182624999999991
12,3,1,6,6.385178000000002
1,4,1,6,6.7113200000000015
7,1,3,6,4.531501999999998
9,1,2,6,5.284661999999996
11,0,2,6,5.360770000000002
2,3,2,6,5.214590000000005
8,0,3,6,4.562716999999999
12,2,1,6,6.4012210000000085
11,3,2,6,5.218245999999999
4,0,3,6,4.481089999999995
9,2,2,6,5.156622000000004
5,0,3,6,4.535554000000002
8,4,0,7,10.181264999999991
7,0,2,7,5.452291999999995
7,3,1,7,6.705839999999995
5,3,1,7,6.820309999999991
15,0,0,7,13.119676999999989
12,0,1,7,7.039042000000003
0,2,1,7,7.676107999999965
8,3,0,7,12.141162000000003
2,1,2,7,5.387365000000003
15,1,0,7,11.282500999999986
7,2,1,7,6.8446980000000055
6,0,2,7,5.4307030000000065
5,0,2,7,5.396320999999992
4,3,1,7,6.7528389999999945
3,4,1,7,6.413035999999992
14,0,1,7,7.033301999999987
5,1,2,7,5.3333360000000045
5,2,1,7,6.977721999999995
8,0,2,7,5.425640999999993
9,2,1,7,6.57764300000001
3,3,1,7,6.81106200000001
1,3,1,7,7.219391999999984
11,3,0,7,10.405203000000009
13,2,0,7,10.717267999999997
4,4,1,7,6.6526089999999884
14,2,0,7,10.331832999999996
9,3,0,7,11.05738200000001
5,4,0,7,11.45506600000001
9,1,1,7,6.974568999999995
7,1,2,7,5.316189999999998
0,3,1,7,7.243290000000028
4,1,2,7,5.408542000000007
6,3,1,7,6.774790000000005
12,1,1,7,6.589107000000001
1,0,2,7,5.630621999999993
13,0,1,7,7.010818000000001
2,0,2,7,5.550599
10,3,0,7,10.62956599999999
9,0,2,7,5.358963999999995
14,1,0,7,12.016296000000018
6,2,1,7,6.90391599999999
16,0,0,7,12.61599200000003
2,3,1,7,6.886833999999986
11,2,0,7,11.700877
6,1,2,7,5.367691000000001
9,4,0,7,9.949701999999995
10,0,2,7,5.3682750000000015
10,1,1,7,6.948694999999998
2,4,1,7,6.730542000000002
12,2,0,7,11.173391000000024
13,1,0,7,12.724649000000031
3,1,2,7,5.299475
11,0,1,7,7.167650000000005
7,4,0,7,10.605179000000017
11,1,1,7,6.927625999999993
15,0,1,7,6.717039999999995
6,4,0,7,10.805702999999983
8,2,1,7,6.803558000000003
8,0,1,8,7.590357000000005
8,2,0,8,13.944315999999985
8,1,1,8,7.077090999999992
4,4,0,8,12.63412399999998
3,2,1,8,7.309769000000009
12,1,0,8,13.006598000000007
10,1,0,8,14.803102999999998
9,0,1,8,7.463243000000004
7,1,1,8,7.298671999999984
10,2,0,8,12.614299000000011
3,4,0,8,13.115060999999988
1,2,1,8,7.784442000000009
10,0,1,8,7.2725790000000154
6,1,1,8,7.406625000000012
13,0,0,8,14.759806999999991
4,0,2,8,5.395164
4,2,1,8,7.206569999999992
7,3,0,8,12.819623999999994
3,0,2,8,5.4221770000000005
2,2,1,8,7.60358999999999
5,3,0,9,14.094292999999995
3,1,1,9,7.8620829999999895
5,1,1,9,7.599456000000019
6,0,1,9,8.01111600000001
0,1,1,9,8.790993999999959
4,1,1,9,7.6989350000000085
7,0,1,9,7.847124000000001
0,0,1,9,10.626000000000102
1,1,1,10,8.600438999999982
5,0,1,10,8.28467199999999
2,1,1,10,8.276432999999992
4,0,1,11,8.456512000000021
1,0,1,13,9.932730000000014
2,0,1,13,8.954666000000008
3,0,1,17,11.405935000000014
