t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
12,2,2,5,100,0,100
3,4,2,5,100,1,9900.0
9,3,3,5,100,0,100
13,0,3,5,100,0,100
10,2,2,5,100,0,100
5,3,2,5,100,1,9900.0
4,4,2,5,100,1,9900.0
6,1,2,5,100,1,9900.0
7,4,2,5,100,1,9900.0
7,1,2,5,100,1,9900.0
11,2,3,5,100,0,100
4,1,2,5,100,1,9900.0
6,4,2,5,100,1,9900.0
9,4,2,5,100,1,9900.0
14,0,2,5,100,0,100
11,1,2,5,100,0,100
0,1,2,5,100,1,9900.0
9,3,2,5,100,0,100
9,2,2,5,100,1,9900.0
0,2,2,5,100,1,9900.0
8,1,2,5,100,1,9900.0
1,2,2,5,100,1,9900.0
11,0,2,5,100,0,100
13,1,2,5,100,0,100
0,3,2,5,100,1,9900.0
2,3,2,5,100,1,9900.0
8,0,2,5,100,1,9900.0
11,3,2,5,100,0,100
9,0,2,5,100,1,9900.0
9,1,2,5,100,1,9900.0
11,1,3,5,100,0,100
3,3,2,5,100,1,9900.0
3,2,2,5,100,1,9900.0
10,4,2,5,100,0,100
12,1,3,5,100,0,100
1,3,2,5,100,1,9900.0
2,1,2,5,100,1,9900.0
8,4,1,6,100,1,9900.0
9,4,1,6,100,1,9900.0
7,4,1,6,100,1,9900.0
11,4,1,6,100,0,100
12,2,1,6,100,0,100
0,0,2,6,100,1,9900.0
8,3,1,6,100,1,9900.0
2,0,2,6,100,1,9900.0
1,0,2,6,100,1,9900.0
6,4,1,6,100,1,9900.0
5,4,1,6,100,1,9900.0
9,3,1,6,100,0,100
11,3,1,6,100,0,100
10,4,1,6,100,0,100
9,2,1,6,100,1,9900.0
12,3,1,6,100,0,100
13,2,1,6,100,0,100
10,3,1,6,100,0,100
3,4,1,6,100,1,9900.0
12,1,1,6,100,0,100
2,4,1,7,100,1,9900.0
7,1,1,7,100,1,9900.0
7,3,1,7,100,0,100
12,0,1,7,100,1,9900.0
5,3,1,7,100,1,9900.0
9,0,1,7,100,1,9900.0
5,2,1,7,100,1,9900.0
14,0,1,7,100,0,100
4,2,1,7,100,1,9900.0
6,1,1,7,100,1,9900.0
3,2,1,7,100,1,9900.0
7,2,1,7,100,1,9900.0
4,3,1,7,100,1,9900.0
10,0,1,7,100,1,9900.0
8,0,1,7,100,1,9900.0
8,1,1,7,100,1,9900.0
9,1,1,7,100,1,9900.0
8,2,1,7,100,1,9900.0
11,0,1,7,100,1,9900.0
10,1,1,7,100,1,9900.0
1,3,1,7,100,1,9900.0
11,2,1,7,100,0,100
0,3,1,7,100,1,9900.0
6,2,1,7,100,1,9900.0
14,1,1,7,100,0,100
4,4,1,7,100,1,9900.0
1,4,1,7,100,1,9900.0
0,4,1,7,100,1,9900.0
10,2,1,7,100,0,100
11,1,1,7,100,1,9900.0
6,3,1,7,100,1,9900.0
13,1,1,7,100,1,9900.0
15,0,1,7,100,0,100
3,3,1,7,100,1,9900.0
5,1,1,7,100,1,9900.0
13,0,1,7,100,0,100
2,3,1,7,100,1,9900.0
2,1,1,8,100,1,9900.0
6,0,1,8,100,1,9900.0
2,2,1,8,100,1,9900.0
5,0,1,8,100,1,9900.0
1,2,1,8,100,1,9900.0
7,0,1,8,100,1,9900.0
4,0,1,8,100,1,9900.0
0,2,1,8,100,1,9900.0
4,1,1,8,100,1,9900.0
3,1,1,8,100,1,9900.0
12,4,0,9,100,0,100
11,4,0,9,100,0,100
1,1,1,9,100,1,9900.0
2,0,1,9,100,1,9900.0
0,1,1,9,100,1,9900.0
1,0,1,10,100,1,9900.0
13,3,0,10,100,0,100
8,4,0,10,100,1,9900.0
11,3,0,10,100,0,100
10,4,0,10,100,0,100
3,0,1,10,100,1,9900.0
12,3,0,10,100,0,100
9,4,0,10,100,1,9900.0
14,2,0,10,100,0,100
13,2,0,11,100,0,100
9,3,0,11,100,0,100
10,3,0,11,100,1,9900.0
15,1,0,11,100,0,100
5,4,0,11,100,1,9900.0
7,4,0,11,100,1,9900.0
6,4,0,11,100,1,9900.0
12,2,0,11,100,0,100
0,0,1,11,100,1,9900.0
14,1,0,12,100,0,100
8,3,0,12,100,1,9900.0
11,2,0,12,100,0,100
4,4,0,13,100,1,9900.0
16,0,0,13,100,0,100
3,4,0,13,100,1,9900.0
12,1,0,13,100,0,100
7,3,0,13,100,1,9900.0
10,2,0,13,100,0,100
15,0,0,13,100,0,100
13,1,0,13,100,0,100
5,3,0,14,100,1,9900.0
8,2,0,14,100,1,9900.0
10,1,0,15,100,1,9900.0
13,0,0,15,100,0,100
