t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
5,3,1,4,6.820309999999991
14,0,1,4,7.033301999999987
5,2,1,4,6.977721999999995
12,0,1,4,7.039042000000003
6,4,0,4,10.805702999999983
4,2,1,4,7.206569999999992
2,2,1,4,7.60358999999999
0,0,2,4,5.746824999999995
3,4,1,4,6.413035999999992
8,2,1,4,6.803558000000003
2,4,1,4,6.730542000000002
7,1,1,4,7.298671999999984
10,4,0,4,9.73606100000001
13,2,0,4,10.717267999999997
11,0,1,4,7.167650000000005
9,1,1,4,6.974568999999995
0,4,1,4,6.840051999999971
1,0,2,4,5.630621999999993
11,1,1,4,6.927625999999993
10,0,1,4,7.2725790000000154
13,3,0,4,9.94941699999999
13,0,1,4,7.010818000000001
10,3,0,4,10.62956599999999
12,4,0,4,9.311507999999998
6,2,1,4,6.90391599999999
1,4,1,4,6.7113200000000015
12,2,0,4,11.173391000000024
7,0,1,4,7.847124000000001
9,0,1,4,7.463243000000004
9,4,0,4,9.949701999999995
0,3,1,4,7.243290000000028
4,4,1,4,6.6526089999999884
12,3,0,4,9.92541599999999
14,2,0,4,10.331832999999996
11,3,0,4,10.405203000000009
1,3,1,4,7.219391999999984
2,3,1,4,6.886833999999986
7,4,0,4,10.605179000000017
14,1,0,4,12.016296000000018
4,1,1,4,7.6989350000000085
10,1,1,4,6.948694999999998
1,2,1,4,7.784442000000009
15,0,0,5,13.119676999999989
13,1,0,5,12.724649000000031
1,1,1,5,8.600438999999982
3,1,1,5,7.8620829999999895
13,0,0,5,14.759806999999991
8,2,0,5,13.944315999999985
10,1,0,5,14.803102999999998
9,3,0,5,11.05738200000001
3,4,0,5,13.115060999999988
4,4,0,5,12.63412399999998
0,2,1,5,7.676107999999965
5,4,0,5,11.45506600000001
2,1,1,5,8.276432999999992
8,3,0,5,12.141162000000003
16,0,0,5,12.61599200000003
4,0,1,5,8.456512000000021
5,0,1,5,8.28467199999999
12,1,0,5,13.006598000000007
10,2,0,5,12.614299000000011
6,0,1,5,8.01111600000001
7,3,0,5,12.819623999999994
11,2,0,5,11.700877
5,3,0,5,14.094292999999995
1,0,1,6,9.932730000000014
2,0,1,6,8.954666000000008
3,0,1,6,11.405935000000014
0,1,1,6,8.790993999999959
0,0,1,7,10.626000000000102
