t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
4,4,1,7,6.6526089999999884
1,4,1,7,6.7113200000000015
0,4,1,7,6.840051999999971
10,2,1,7,6.664351000000008
11,1,1,7,6.927625999999993
6,3,1,7,6.774790000000005
13,1,1,7,6.616469000000006
15,0,1,7,6.717039999999995
3,3,1,7,6.81106200000001
5,1,1,7,7.599456000000019
13,0,1,7,7.010818000000001
2,3,1,7,6.886833999999986
2,1,1,8,8.276432999999992
6,0,1,8,8.01111600000001
2,2,1,8,7.60358999999999
5,0,1,8,8.28467199999999
1,2,1,8,7.784442000000009
7,0,1,8,7.847124000000001
4,0,1,8,8.456512000000021
0,2,1,8,7.676107999999965
4,1,1,8,7.6989350000000085
3,1,1,8,7.8620829999999895
12,4,0,9,9.311507999999998
11,4,0,9,9.346081999999997
1,1,1,9,8.600438999999982
2,0,1,9,8.954666000000008
0,1,1,9,8.790993999999959
1,0,1,10,9.932730000000014
13,3,0,10,9.94941699999999
8,4,0,10,10.181264999999991
11,3,0,10,10.405203000000009
10,4,0,10,9.73606100000001
3,0,1,10,11.405935000000014
12,3,0,10,9.92541599999999
9,4,0,10,9.949701999999995
14,2,0,10,10.331832999999996
13,2,0,11,10.717267999999997
9,3,0,11,11.05738200000001
10,3,0,11,10.62956599999999
15,1,0,11,11.282500999999986
5,4,0,11,11.45506600000001
7,4,0,11,10.605179000000017
6,4,0,11,10.805702999999983
12,2,0,11,11.173391000000024
0,0,1,11,10.626000000000102
14,1,0,12,12.016296000000018
8,3,0,12,12.141162000000003
11,2,0,12,11.700877
4,4,0,13,12.63412399999998
16,0,0,13,12.61599200000003
3,4,0,13,13.115060999999988
12,1,0,13,13.006598000000007
7,3,0,13,12.819623999999994
10,2,0,13,12.614299000000011
15,0,0,13,13.119676999999989
13,1,0,13,12.724649000000031
5,3,0,14,14.094292999999995
8,2,0,14,13.944315999999985
10,1,0,15,14.803102999999998
13,0,0,15,14.759806999999991
