t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
11,2,1,11,100,76,31.6
9,2,2,11,100,80,25.0
12,2,0,12,100,64,56.2
15,0,0,12,100,59,69.5
2,3,2,12,100,79,26.6
13,0,1,12,100,63,58.7
5,1,3,12,100,80,25.0
6,4,1,12,100,68,47.1
5,4,1,12,100,74,35.1
9,1,2,12,100,81,23.5
7,3,1,12,100,78,28.2
11,2,0,12,100,69,44.9
6,1,3,12,100,85,17.6
0,4,1,12,100,82,22.0
11,0,2,12,100,68,47.1
7,2,2,12,100,75,33.3
5,3,2,12,100,82,22.0
6,2,2,12,100,82,22.0
11,1,1,12,100,65,53.8
9,2,1,12,100,65,53.8
8,0,3,12,100,84,19.0
16,0,0,12,100,73,37.0
4,3,2,12,100,82,22.0
3,3,2,12,100,78,28.2
4,4,1,12,100,70,42.9
14,2,0,12,100,72,38.9
2,1,3,12,100,90,11.1
10,2,1,12,100,78,28.2
6,3,1,13,100,79,26.6
8,1,2,13,100,71,40.8
13,1,0,13,100,64,56.2
1,4,1,13,100,76,31.6
1,0,3,13,100,96,4.2
10,0,2,13,100,74,35.1
11,3,0,13,100,66,51.5
12,0,1,13,100,64,56.2
0,3,1,13,100,79,26.6
4,1,3,13,100,86,16.3
5,2,2,13,100,76,31.6
10,1,1,13,100,78,28.2
9,0,2,13,100,71,40.8
13,2,0,13,100,73,37.0
9,3,0,13,100,74,35.1
7,1,2,13,100,73,37.0
1,2,2,13,100,89,12.4
8,2,1,13,100,65,53.8
2,4,1,13,100,80,25.0
3,1,3,13,100,90,11.1
7,0,3,13,100,86,16.3
5,3,1,14,100,73,37.0
4,2,2,14,100,73,37.0
7,2,1,14,100,79,26.6
6,0,3,14,100,87,14.9
11,0,1,14,100,78,28.2
8,4,0,14,100,60,66.7
9,1,1,14,100,78,28.2
2,2,2,14,100,87,14.9
3,4,1,14,100,80,25.0
5,0,3,14,100,86,16.3
14,1,0,14,100,58,72.4
6,1,2,14,100,81,23.5
3,2,2,14,100,86,16.3
10,0,1,15,100,66,51.5
4,3,1,15,100,65,53.8
2,0,3,15,100,95,5.3
8,0,2,15,100,83,20.5
4,0,3,15,100,90,11.1
3,3,1,15,100,81,23.5
7,4,0,15,100,59,69.5
5,1,2,15,100,77,29.9
8,1,1,15,100,79,26.6
10,3,0,15,100,59,69.5
6,2,1,15,100,67,49.3
10,2,0,15,100,73,37.0
0,2,1,16,100,83,20.5
1,3,1,16,100,83,20.5
13,0,0,16,100,71,40.8
3,0,3,16,100,92,8.7
7,0,2,16,100,84,19.0
9,0,1,16,100,66,51.5
1,1,2,16,100,89,12.4
4,1,2,16,100,85,17.6
7,1,1,16,100,80,25.0
2,3,1,16,100,82,22.0
12,1,0,16,100,72,38.9
5,4,0,16,100,60,66.7
5,2,1,16,100,69,44.9
3,1,2,17,100,83,20.5
6,0,2,17,100,77,29.9
8,2,0,17,100,73,37.0
2,1,2,17,100,89,12.4
10,1,0,18,100,57,75.4
4,2,1,18,100,82,22.0
8,3,0,18,100,72,38.9
8,0,1,18,100,67,49.3
7,3,0,18,100,62,61.3
6,1,1,18,100,76,31.6
6,4,0,19,100,70,42.9
3,2,1,19,100,78,28.2
0,1,1,19,100,88,13.6
5,0,2,19,100,81,23.5
1,2,1,20,100,80,25.0
4,0,2,20,100,89,12.4
7,0,1,20,100,82,22.0
5,1,1,20,100,72,38.9
2,2,1,20,100,70,42.9
6,0,1,22,100,73,37.0
3,0,2,22,100,87,14.9
1,0,2,22,100,97,3.1
4,1,1,22,100,72,38.9
2,0,2,23,100,88,13.6
4,4,0,23,100,71,40.8
3,4,0,23,100,71,40.8
3,1,1,24,100,78,28.2
5,3,0,25,100,55,81.8
5,0,1,25,100,85,17.6
2,1,1,27,100,81,23.5
1,1,1,28,100,85,17.6
4,0,1,29,100,88,13.6
3,0,1,34,100,83,20.5
2,0,1,40,100,92,8.7
1,0,1,112,100,89,12.4
