t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
11,2,1,5,100,76,31.6
10,3,1,5,100,74,35.1
4,4,1,5,100,70,42.9
10,1,1,5,100,78,28.2
15,0,1,5,100,77,29.9
10,4,0,5,100,75,33.3
9,0,2,5,100,71,40.8
0,3,1,6,100,79,26.6
2,1,2,6,100,89,12.4
7,2,1,6,100,79,26.6
10,0,1,6,100,66,51.5
6,0,2,6,100,77,29.9
5,3,1,6,100,73,37.0
14,1,0,6,100,58,72.4
5,0,2,6,100,81,23.5
1,4,1,6,100,76,31.6
5,2,1,6,100,69,44.9
12,0,1,6,100,64,56.2
4,3,1,6,100,65,53.8
2,0,2,6,100,88,13.6
15,0,0,6,100,59,69.5
10,3,0,6,100,59,69.5
14,2,0,6,100,72,38.9
4,0,2,6,100,89,12.4
11,3,0,6,100,66,51.5
1,0,2,6,100,97,3.1
6,2,1,6,100,67,49.3
11,2,0,6,100,69,44.9
2,3,1,6,100,82,22.0
1,3,1,6,100,83,20.5
16,0,0,6,100,73,37.0
8,4,0,6,100,60,66.7
3,1,2,6,100,83,20.5
7,0,2,6,100,84,19.0
9,1,1,6,100,78,28.2
11,0,1,6,100,78,28.2
13,1,0,6,100,64,56.2
3,3,1,6,100,81,23.5
8,1,1,6,100,79,26.6
13,2,0,6,100,73,37.0
0,4,1,6,100,82,22.0
9,3,0,6,100,74,35.1
12,2,0,6,100,64,56.2
7,1,1,7,100,80,25.0
7,4,0,7,100,59,69.5
3,0,2,7,100,87,14.9
8,0,1,7,100,67,49.3
12,1,0,7,100,72,38.9
3,2,1,7,100,78,28.2
6,1,1,7,100,76,31.6
5,4,0,7,100,60,66.7
6,4,0,7,100,70,42.9
9,0,1,7,100,66,51.5
10,2,0,7,100,73,37.0
0,2,1,7,100,83,20.5
2,2,1,7,100,70,42.9
4,2,1,7,100,82,22.0
10,1,0,8,100,57,75.4
13,0,0,8,100,71,40.8
1,2,1,8,100,80,25.0
7,0,1,8,100,82,22.0
4,1,1,8,100,72,38.9
5,1,1,8,100,72,38.9
7,3,0,8,100,62,61.3
0,1,1,8,100,88,13.6
8,2,0,8,100,73,37.0
0,0,1,8,100,90,11.1
8,3,0,8,100,72,38.9
5,0,1,9,100,85,17.6
2,1,1,9,100,81,23.5
1,1,1,9,100,85,17.6
6,0,1,9,100,73,37.0
3,1,1,9,100,78,28.2
4,4,0,9,100,71,40.8
3,4,0,9,100,71,40.8
4,0,1,10,100,88,13.6
5,3,0,10,100,55,81.8
3,0,1,12,100,83,20.5
2,0,1,13,100,92,8.7
1,0,1,20,100,89,12.4
